Entrez GeneID	Gene Symbol	Overlap with the 13-gene signature from Spranger et al. Nature 2015 (DOI: 10.1038/nature14404)
3112	HLA-DOB	Y
140	ADORA3	
199	AIF1	
241	ALOX5AP	
120425	AMICA1	
257106	ARHGAP30	
64333	ARHGAP9	
695	BTK	
128346	C1orf162	
712	C1QA	
713	C1QB	
714	C1QC	
728	C5AR1	
140947	C5orf20	
6347	CCL2	Y
6348	CCL3	Y
6351	CCL4	Y
6352	CCL5	
1230	CCR1	
729230	CCR2	
1234	CCR5	
1236	CCR7	
9332	CD163	
4064	CD180	
919	CD247	
940	CD28	
914	CD2	
11314	CD300A	
10871	CD300C	
146722	CD300LF	
945	CD33	
951	CD37	
915	CD3D	
916	CD3E	
917	CD3G	
962	CD48	
1043	CD52	
963	CD53	
923	CD6	
971	CD72	
972	CD74	
924	CD7	
941	CD80	
942	CD86	
925	CD8A	Y
4261	CIITA	
56253	CRTAM	
8530	CST7	
3627	CXCL10	Y
6373	CXCL11	
4283	CXCL9	Y
10663	CXCR6	
80231	CXorf21	
1536	CYBB	
27128	CYTH4	
9595	CYTIP	
1794	DOCK2	
9046	DOK2	
2124	EVI2B	
356	FASLG	
2207	FCER1G	
2219	FCN1	
343413	FCRL6	
221472	FGD2	
2533	FYB	
115362	GBP5	
29909	GPR171	
2841	GPR18	
2857	GPR34	
8477	GPR65	
3001	GZMA	
2999	GZMH	
3003	GZMK	Y
84868	HAVCR2	
10870	HCST	
3101	HK3	
3108	HLA-DMA	Y
3109	HLA-DMB	Y
3111	HLA-DOA	Y
3113	HLA-DPA1	
3115	HLA-DPB1	
3118	HLA-DQA2	
3119	HLA-DQB1	
3122	HLA-DRA	
3127	HLA-DRB5	
3128	HLA-DRB6	
29851	ICOS	Y
10320	IKZF1	
3587	IL10RA	
3594	IL12RB1	
3560	IL2RB	
3659	IRF1	Y
3689	ITGB2	
3702	ITK	
3903	LAIR1	
7805	LAPTM5	
54900	LAX1	
3937	LCP2	
23547	LILRA4	
353514	LILRA5	
10859	LILRB1	
10288	LILRB2	
11025	LILRB3	
11006	LILRB4	
100233209	LOC100233209	
7940	LST1	
4050	LTB	
9450	LY86	
4063	LY9	
4332	MNDA	
219972	MPEG1	
51338	MS4A4A	
64231	MS4A6A	
4542	MYO1F	
654816	NCF1B	
654817	NCF1C	
3071	NCKAP1L	
4818	NKG7	
114548	NLRP3	
5008	OSM	
27334	P2RY10	
29992	PILRA	
5341	PLEK	
5551	PRF1	
5788	PTPRC	
149628	PYHIN1	
64407	RGS18	
399	RHOH	
6039	RNASE6	
64092	SAMSN1	
54440	SASH3	
6404	SELPLG	
4068	SH2D1A	
89790	SIGLEC10	
6614	SIGLEC1	
27036	SIGLEC7	
27180	SIGLEC9	
55423	SIRPG	
27240	SIT1	
84174	SLA2	
6503	SLA	
6504	SLAMF1	
114836	SLAMF6	
57823	SLAMF7	
56833	SLAMF8	
6688	SPI1	
6693	SPN	
374403	TBC1D10C	
497189	TIFAB	
81793	TLR10	
51284	TLR7	
51311	TLR8	
79626	TNFAIP8L2	
80342	TRAF3IP3	
50852	TRAT1	
7305	TYROBP	
53347	UBASH3A	
7409	VAV1	
7454	WAS	
57705	WDFY4	
