,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000123838,3.52947838583281,0.520866707196529,12.0663250583143,1.30930867117674e-32,4.09394635303543e-28,63.1379435255932
ENSG00000257017,3.37490738939097,0.905410143322885,11.9039277637704,8.33754765155322e-32,1.30349219984383e-27,61.3277828219788
ENSG00000021852,3.61086969819752,-3.47672312479559,11.564631423555,3.71460755450723e-30,3.87161163381107e-26,57.2570809540976
ENSG00000104760,3.60241323193351,-2.12189158385716,11.3926952770776,2.45136874873533e-29,1.91623495088641e-25,55.5499872064408
ENSG00000106804,1.63171516887094,2.85491205684869,11.2688427150201,9.3970856679992e-29,5.87656149333998e-25,54.4120952344613
ENSG00000080618,3.18044351725183,-2.25377043697822,11.1540076858099,3.22874175567895e-28,1.68260495360949e-24,52.9843529674129
ENSG00000229314,3.41315103914181,-1.23360722600688,11.0665653300513,8.20230597941226e-28,3.66385290520375e-24,52.1934966437524
ENSG00000151655,2.81904389934928,-0.495338350311791,11.0372760881051,1.11924868059291e-27,4.3745834680974e-24,51.9048916604453
ENSG00000118137,3.21111286289909,-0.965353118452489,10.8628573987202,7.01781797006384e-27,2.43814591431062e-23,50.1038937749764
ENSG00000025423,2.1820161546364,1.55355683905197,10.8377234110261,9.1234120795939e-27,2.85270848904742e-23,49.9062253442387
ENSG00000114771,3.25826053200315,-2.05654115168618,10.6640822638208,5.50791580919575e-26,1.45215937057993e-22,48.0002130860055
ENSG00000138413,0.855059686896256,6.66917752496961,10.6629380005638,5.57308188785953e-26,1.45215937057993e-22,47.9995092695127
ENSG00000005421,2.84597487712816,-2.47345329911205,10.432663351095,5.80862172426568e-25,1.39710756980261e-21,45.6504512450717
ENSG00000228278,3.01231961214408,-1.67549074431731,10.3390303935222,1.48693971128171e-24,3.32097363516832e-21,44.8061923589424
ENSG00000084110,2.02228422584141,-0.527851673302626,10.1864764784838,6.76560874926355e-24,1.41031369581315e-20,43.3379488661166
ENSG00000141485,2.599023470285,-1.40907744389394,10.1613389099142,8.66738743958988e-24,1.69382419038185e-20,43.0778058800647
ENSG00000073734,2.47807166708487,-3.86191955018243,10.1344669010116,1.12882761768391e-23,2.07624599704356e-20,42.6828349175553
ENSG00000186480,1.01713180442597,5.51971217053529,10.1010736693343,1.56613836677762e-23,2.72055635846682e-20,42.4896350268552
ENSG00000099937,2.89027855136178,-1.33235892601787,10.0042015867408,4.02677236205165e-23,6.62679569561215e-20,41.6056119305601
ENSG00000117601,2.91900367092663,-2.11705387076184,9.94833293132702,6.91617395839457e-23,1.06202800884367e-19,41.0393111014285
ENSG00000226015,1.1515601045575,0.561629669160355,9.94032038492921,7.47237309535651e-23,1.06202800884367e-19,41.0119884677482
ENSG00000109072,2.71622299970655,-0.23480790545139,9.92964785281774,8.2825719684704e-23,1.12599765352232e-19,40.9484819429222
ENSG00000143819,1.20896016894491,7.41712160565901,9.94116562255628,7.41166939062028e-23,1.06202800884367e-19,40.8234544246762
ENSG00000091513,2.51816710285306,1.11381331966988,9.87424002739376,1.41113343427876e-22,1.83847167595951e-19,40.4389769623294
ENSG00000162267,2.14750727618257,0.441480743395349,9.81772123481006,2.42328455357193e-22,3.03085045684349e-19,39.9023514836494
ENSG00000106327,1.92017206004619,1.23836977180017,9.79815614311262,2.92020600606528e-22,3.26103576420175e-19,39.7274518339855
