	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
TCGA-02-0047-01A	0.002461959	0.007170579	0.108016678	0.020581395	0.059996923	0.000301947	1.54E-09	0.801470518
TCGA-02-0055-01A	0.001483533	0.008941477	0.149420906	0.015634601	0.061855121	0.000198411	1.96E-09	0.76246595
TCGA-02-2483-01A	0.003185137	0.009900012	0.094319661	0.024697163	0.047067509	0.000283871	9.39E-09	0.820546638
TCGA-02-2485-01A	0.002677716	0.010382846	0.109942894	0.023099477	0.040000384	0.000420544	9.53E-09	0.81347613
TCGA-02-2486-01A	0.002964181	0.007717925	0.069827466	0.014179224	0.074189079	0.000131713	9.25E-10	0.830990412
TCGA-04-1331-01A	0.00055125	0.00832861	0.166209626	0.007977937	0.013877443	0.00018803	1.11E-09	0.802867102
TCGA-04-1332-01A	0.000187224	0.005773518	0.1060777	0.010800577	0.017082154	0.00014696	8.03E-10	0.859931866
TCGA-04-1338-01A	0.001739516	0.005066284	0.093228607	0.057671402	0.023631388	5.13E-05	3.17E-09	0.818611467
TCGA-04-1341-01A	0.002402416	0.009437099	0.170154643	0.089152652	0.052118618	1.21E-07	1.19E-08	0.676734439
TCGA-04-1343-01A	9.46E-08	0.008051224	0.140690951	0.014130194	0.024338335	5.40E-05	7.37E-10	0.812735162
TCGA-04-1347-01A	0.000124165	0.016126352	0.123039255	0.008108018	0.018093075	0.000117778	5.41E-07	0.834390815
TCGA-04-1350-01A	0.000127811	0.005978832	0.14632044	0.011508599	0.012504551	3.41E-05	1.09E-07	0.823525524
TCGA-04-1356-01A	5.24E-08	0.018770115	0.146058002	0.011519288	0.01628766	0.000183092	3.33E-06	0.807178459
TCGA-04-1357-01A	0.001662738	0.005235834	0.111281545	0.048473275	0.06670452	0.000104869	5.09E-10	0.766537219
TCGA-04-1361-01A	0.001500173	0.016297644	0.093710106	0.007722452	0.044770851	9.21E-05	3.80E-10	0.835906626
TCGA-04-1362-01A	0.002207398	0.006524817	0.162520125	0.008718076	0.023461191	0.000192754	4.76E-10	0.796375637
TCGA-04-1364-01A	5.89E-07	0.010915089	0.20044899	0.01856335	0.026661194	0.000150939	1.54E-08	0.743259832
TCGA-04-1365-01A	2.04E-07	0.017423577	0.172010347	0.01429662	0.048338479	0.000261915	2.34E-08	0.747668834
TCGA-04-1514-01A	0.000946325	0.017556145	0.292285824	0.022892588	0.040278239	0.000510356	5.56E-08	0.625530468
TCGA-04-1519-01A	9.79E-06	0.005253523	0.205842382	0.014246408	0.019154614	0.000251721	1.27E-08	0.755241551
TCGA-04-1530-01A	1.68E-08	0.005521493	0.156129543	0.011233689	0.041046563	5.27E-05	1.08E-09	0.786015957
TCGA-04-1536-01A	6.60E-07	0.016269625	0.105511426	0.013581177	0.012262016	0.000160962	1.74E-09	0.852214133
TCGA-04-1542-01A	1.37E-07	0.004595383	0.309254377	0.01204638	0.028026686	3.01E-05	1.17E-09	0.646046926
TCGA-04-1648-01A	0.000124773	0.016031127	0.165948945	0.012654682	0.033172628	0.000264703	1.46E-10	0.771803142
TCGA-04-1651-01A	0.000652177	0.004051303	0.082762118	0.006552177	0.015031173	0.000126488	3.87E-09	0.890824561
TCGA-04-1655-01A	2.15E-07	0.006233937	0.149138815	0.00985684	0.014951741	0.000147839	2.40E-08	0.819670589
TCGA-05-4244-01A	8.43E-05	0.008278355	0.287144968	0.025392679	0.032705892	0.000381349	1.96E-09	0.646012494
TCGA-05-4249-01A	0.001431124	0.007903355	0.234074134	0.082026428	0.089207117	0.00055474	1.23E-09	0.5848031
TCGA-05-4250-01A	0.001249827	0.012803584	0.30247744	0.045537252	0.061587282	0.00030508	1.73E-09	0.576039533
TCGA-05-4382-01A	0.008221069	0.011466917	0.306392504	0.288246651	0.105037926	5.80E-05	8.22E-09	0.280576883
TCGA-05-4384-01A	0.001231153	0.010725384	0.198004461	0.026702613	0.058398283	0.000264145	1.56E-10	0.704673961
TCGA-05-4389-01A	0.001408709	0.041814699	0.25885689	0.083830204	0.069468026	0.000357608	2.41E-09	0.54426386
TCGA-05-4390-01A	0.007443783	0.011285428	0.290332133	0.259729082	0.11310393	6.13E-05	1.12E-08	0.318044373
TCGA-05-4395-01A	0.000161	0.012954594	0.249529597	0.02522808	0.029377244	0.000239402	1.47E-09	0.682510081
TCGA-05-4396-01A	0.001674597	0.003463101	0.170930007	0.020889586	0.020107158	0.000678466	7.59E-10	0.782257083
TCGA-05-4397-01A	0.001990511	0.016846144	0.254710746	0.041131216	0.037868314	0.000440218	8.29E-09	0.647012843
TCGA-05-4398-01A	0.005854156	0.011301867	0.287615823	0.16023338	0.071675763	0.000969852	1.58E-09	0.462349157
TCGA-05-4402-01A	0.001370645	0.013743148	0.226519297	0.074229703	0.069578271	0.000250685	3.27E-09	0.614308247
TCGA-05-4403-01A	0.001841541	0.006893546	0.145655499	0.013546994	0.044780746	0.000501474	1.68E-09	0.786780198
TCGA-05-4405-01A	1.37E-05	0.00618564	0.264764944	0.040097625	0.042946601	0.000393475	3.37E-08	0.64559799
