	T cells	CD8 T cells	Cytotoxic lymphocytes	NK cells	B lineage	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
TCGA-02-0047-01A	4.419586074	4.700439718	5.989615619	2.387397926	2.559444911	9.764311372	3.197039858	6.131740025	9.125653047	11.841851
TCGA-02-0055-01A	5.480905923	5.781359714	6.077211812	3.190358125	3.156720983	10.42710694	5.04566067	8.180076278	8.067297554	14.89689184
TCGA-02-2483-01A	4.817237223	4.087462841	5.768211557	2.769203899	4.177137615	10.33601979	3.312628891	7.462141066	9.924146465	12.34615717
TCGA-02-2485-01A	5.538764501	5.044394119	4.930776847	1.975919365	3.651408211	8.883693869	3.235106969	6.284270363	9.884446858	10.46425727
TCGA-02-2486-01A	6.156867213	7.011227255	4.49140789	1.809593275	3.842148016	10.50815683	2.702790976	6.31005566	7.227277452	12.75934883
TCGA-04-1331-01A	6.067940184	5.700439718	3.504232688	2.630805244	6.041921692	8.560646669	5.255601234	6.09190595	8.697671177	13.46723784
TCGA-04-1332-01A	5.445118778	4.523561956	3.539456465	2.407320754	4.483795918	8.120753408	5.515402533	6.146691997	9.452335771	13.92302231
TCGA-04-1338-01A	6.643333051	6.845490051	3.911255796	2.683641627	4.785026427	8.730638025	4.190105067	5.533200372	7.106818142	13.31936712
TCGA-04-1341-01A	6.143372933	6.672425342	4.343650616	2.167950267	5.759072962	8.316579844	3.388684416	6.539789294	7.697759643	13.55276001
TCGA-04-1343-01A	7.374193757	6.727920455	5.088223428	3.005324985	7.732312721	9.392328588	5.455763875	7.025128813	8.735569792	14.61783549
TCGA-04-1347-01A	4.634623802	5	3.506462286	1.474910203	5.178323913	6.666633205	3.523929588	4.670861997	7.125278169	11.89646073
TCGA-04-1350-01A	4.643517518	5.285402219	2.753947498	0.924039678	4.149836722	7.13668452	2.35929449	5.03896691	6.880747528	9.809389995
TCGA-04-1356-01A	6.542884485	6.06608919	5.032886014	3.060384035	4.914109528	8.629049691	5.799234485	7.011373306	8.229699702	13.24454476
TCGA-04-1357-01A	8.289452038	9.027905997	6.649638525	4.205789868	7.528653605	10.07069125	7.504903701	6.228749828	7.686264553	12.10055156
TCGA-04-1361-01A	6.974707415	7.276124405	5.399467355	4.012554156	5.673039745	9.099628171	4.673986332	6.067742203	9.083395851	13.05607361
TCGA-04-1362-01A	6.037933477	4.392317423	4.679907999	3.193931052	4.465770595	8.920458219	4.235133188	6.887902978	8.453156526	10.96044343
TCGA-04-1364-01A	3.792378084	5.754887502	2.564937121	1.525571393	5.007648402	6.739777346	2.122768888	5.65087976	8.217342862	10.8252142
TCGA-04-1365-01A	8.091209032	7.906890596	6.670613061	5.022957926	6.928659033	10.44263419	6.834400065	7.273381664	8.746360475	12.07643224
