"","relapse_kz_s1","relapse_kz_s2","relapse_kz_s3","relapse_kz_s45"
"7SK|ENSG00000232512.2",0.689187134996281,0.802092038883503,0.0300726737313881,0.563717971331943
"7SK|ENSG00000249352.3",0.501172837971189,1,0.299428505424868,0.0675497501416302
"7SK|ENSG00000254144.2",0.00464380506233764,0.26151139355322,1.57098105741705e-07,0.188780551385249
"7SK|ENSG00000260682.2",0.0277934921553349,0.899615556866028,0.814906146088076,0.459550235475974
"7SK|ENSG00000271765.1",0.88164912079638,0.233311069450555,0.0147913810478332,0.0215781724870857
"7SK|ENSG00000271814.1",0.602999580119846,1,0.125812516376534,1
"7SK|ENSG00000271818.1",0.871187161935274,0.3393427338795,0.46825426437389,0.127148062104494
"A1BG",0.490335931168615,0.176797962874211,0.279030635209875,1
"A1CF",0.40554182937408,0.136123796267132,0.0101521243103435,1
"A2M",0.348667063425623,0.627042184058222,1.67980134926131e-05,0.887464280360273
"A2ML1",0.603193190233605,0.770579158951091,3.77423950890037e-06,0.887281647870708
"A2MP1",0.29445470627153,0.55761580638515,2.34544816757752e-05,0.887504567611521
"A3GALT2",0.660538257761262,0.341666150425202,8.8144036620273e-10,0.202070218232295
"A4GALT",0.299629238474306,0.39258784140147,0.229900712903149,0.67345053138583
"A4GNT",0.127186374514581,0.852558066015902,0.000609974744166631,0.613190626550585
"AAAS",1,0.0939951568024131,0.00129579256877446,0.873526529718452
"AACS",0.820362781408691,0.134486559366256,0.00388290521899462,1
"AACSP1",0.646750116782171,0.496656278965296,0.00401971030365674,1
"AADAC",0.131925117370945,0.717204536290481,1.28967585962229e-05,0.899079194178796
"AADACL2",0.131925117370945,0.716848476421063,9.73244705564581e-06,0.899079194178796
"AADACL3",0.290024877964111,0.388951568607098,8.96997808384041e-09,0.0699284519845561
"AADACL4",0.291456784726156,0.386288128088243,3.25284481694241e-08,0.074032399586372
"AADAT",0.120014225846114,1,0.0868335990657318,0.192568243223278
"AAED1",1,0.300465212275585,0.0735216521759229,0.388601525492849
"AAGAB",0.197638161004004,0.786827112960118,0.821989686921457,0.0312019577529837
"AAK1",1,0.840961631141751,0.0782467287483278,0.000940119335526426
"AAMDC",0.381599408373894,1,0.0135423732593797,0.639940500354264
"AAMP",0.549143982626334,0.100066382682311,0.00334099652226558,0.0582823513920532
"AANAT",0.0493922896310001,0.408818176851522,0.00815125940504066,1
"AAR2",0.791490287677338,0.170283336572809,0.452107685410245,0.526419143837575
"AARD",0.0101841549573979,0.495677739027874,1.27618754213385e-05,0.603583397773906
"AARS",0.0462134143933896,0.328659234510939,0.578696333441304,0.0597179995643632
"AARS2",0.244882941114849,0.446878813421366,3.6677629216965e-05,0.365965072385481
"AARSD1",0.401875537527684,0.917105370542381,0.369491040225989,1
"AASDH",0.0630570666573999,0.801509847122937,0.0133860875580957,0.226030188406492
"AASDHPPT",0.220762652165912,0.181737542460588,0.00691446042390455,0.588500320449991
"AASS",0.40941027038476,1,0.0104038833819734,0.425309996045456
"AATF",0.403289869224724,0.675989973725634,0.168430677737736,0.481112818124791
"AATK",0.189733929593903,0.63866021238448,0.000964613868228902,0.775565108881591
"ABAT",0.138146705111511,0.844285161242353,0.602929055328117,0.159663197066766
"ABCA1",1,0.700136184575037,0.0759809391765325,0.494112362944013
"ABCA10",0.0309485670448739,0.646606893909921,0.0263246316369673,0.778689598996509
"ABCA11P",0.159324511918012,0.893234013335618,3.52470866098128e-08,0.202281070016596
"ABCA12",0.545878379039431,0.0751801696078231,0.00582702034128163,0.187741829573125
"ABCA13",0.423634873022132,0.658879006238361,1,0.897055179101122
"ABCA17P",0.0522519361158216,0.270552657502391,0.649097073316377,0.250563551887859
"ABCA2",0.46349771135195,0.633475980168831,0.0188315010900651,0.0967370911815333
"ABCA3",0.0848674512008321,0.231502959718323,0.585318764079421,0.250563551887859
"ABCA4",0.158417690443274,0.794668101733363,0.00086376027979872,0.207427826701302
"ABCA5",0.0313780587973005,0.646455324700545,0.0266083276395161,0.778689598996509
"ABCA6",0.0476697693446822,0.582674582296754,0.0266763332802039,0.778689598996509
"ABCA7",0.164796624340977,0.27240639955601,0.574070727439273,0.653125523893637
"ABCA8",0.031457251014097,0.409899325436752,0.026428834463012,0.779609802150594
"ABCA9",0.0313380300911669,0.40872682221138,0.0217439458568275,0.778689598996509
"ABCB1",0.370725931692538,0.720609054027946,0.0764714026438673,0.796887330751606
"ABCB10",1.03786127127472e-05,0.015734384171764,0.00617078387964557,0.00104840515181278
"ABCB11",1,0.0355915315814062,0.00163045863320724,0.0249562966141005
"ABCB4",0.41846403663587,0.78893890129168,0.0556157050646892,0.797278494879403
"ABCB5",0.79015718585784,0.858607355637515,0.562745037068659,0.89198686810028
"ABCB6",0.628692665679605,0.101468603173324,0.00237370165233037,0.124384256441561
"ABCB7",0.895598082103237,0.285509581754792,0.000473630146697204,0.50321056271447
"ABCB8",0.648582523213139,0.77341437286696,0.154209041791845,0.784366061186017
"ABCB9",0.735199171131498,0.110927839124732,0.00663973837753317,0.745236432581486
"ABCC1",0.0692983782935289,0.427643154887492,0.174121777524946,0.523308531074972
"ABCC10",0.138907576137604,0.391306444430376,1.23719336859181e-05,0.230168754247373
"ABCC11",0.00587710394749634,1,1,0.624270921351279
"ABCC12",0.00588012072528164,1,0.842034189302799,0.624171791148437
"ABCC13",0.896754139224765,0.713871489069607,0.454537861782748,0.471518602169919
"ABCC2",0.528382361191618,0.518221578646236,0.0171244096585277,0.660534660645741
"ABCC3",0.243888856667884,0.568920111687355,0.237804131032986,0.643269303028641
"ABCC4",0.179107326121696,0.593052652071423,0.328062340421974,0.263509257846861
"ABCC5",0.234592478763134,0.466228489279712,2.45827149742113e-08,0.523689725101369
"ABCC6",0.0692983782935289,0.427643154887492,0.174121777524946,0.523308531074972
"ABCC6P1",0.0692983782935289,0.427643154887492,0.174121777524946,0.523308531074972
"ABCC8",0.764439897444755,0.119927583330931,0.913546944904775,0.308700439973622
"ABCC9",0.25788608471118,0.774093707842516,8.37986770633832e-05,0.778298576565539
"ABCD1",0.49626913351923,0.29553091714914,8.92371545759773e-05,0.0725736269036536
"ABCD2",0.203686565517967,0.410046004255197,0.00423205563553528,0.876796153154741
"ABCD3",0.259656372468618,0.602597551871133,0.000867077974157845,0.284161273980796
"ABCD4",0.273201269090624,0.471762654886651,0.0668920698518727,0.140026282363735
"ABCE1",0.0385841041240812,1,0.103188497180209,0.805416452179317
"ABCF1",0.0359497740376175,0.386908877401753,1.40845454718918e-06,0.884457672998479
"ABCF2",0.648733490546406,0.773660616181176,0.154262838705487,0.683056653082306
"ABCF3",0.170344353861106,0.414735701264454,1.6247598470367e-08,0.605653620857691
"ABCG1",0.597469884203731,0.623338839028504,0.065366906608645,0.699318782399446
"ABCG2",0.195921909523064,0.878035902363168,0.747218762756055,0.113218632620552
"ABCG4",0.0618479536925596,0.170681278503337,0.174883440774199,1
"ABCG5",0.917130559570885,0.839195680083327,0.00801876187156768,0.0106803212639786
"ABCG8",1,1,0.0080896994846542,0.0153831726442918
"ABHD1",1,0.920676910974053,0.0019112557884027,0.0155393282559931
"ABHD10",0.0540911164126504,0.844918526439572,0.00124783349497957,0.297025356924755
"ABHD11",0.786824959438726,0.473365750539016,0.437508083705974,0.896259857795744
"ABHD12",0.786797572473958,0.726232440930928,0.0855937349401722,0.161898062725037
"ABHD12B",0.52725009731118,0.823200489013711,0.842365799060224,0.341454013117089
"ABHD13",0.0976168500148631,0.916246886143154,0.211326151901463,0.150068351688578
"ABHD14A",0.283658067489817,0.641579885988796,0.034274007199852,0.534236014500393
"ABHD14B",0.283658067489817,0.641579885988796,0.034274007199852,0.534236014500393
"ABHD15",0.528586639664043,0.539350316259634,0.289354630836648,1
"ABHD16A",0.169743361323971,0.337279614530042,3.16867894520258e-07,0.656840555420918
"ABHD16B",0.930748617544185,0.931105201440544,0.0310369646084801,0.898707087009249
"ABHD17A",0.337901804465245,0.333050998925521,0.563907276758511,0.816766756758391
"ABHD17B",0.862419513257419,1,0.0293617330716477,0.731106449454792
"ABHD17C",0.345092164994082,1,0.211701034571282,0.189464577899801
"ABHD2",0.603362170772227,0.906925088393055,0.279377876427958,0.204988465028423
"ABHD3",0.897439210544896,0.908601552011769,0.526369811719037,0.860341610777792
"ABHD4",1,0.739761507623836,0.288064055432402,0.159963495784645
"ABHD5",0.129325042050512,0.652802399430947,0.100649266386523,0.221696852054115
"ABHD6",0.283293825340887,0.172620274954636,0.00641159427676931,0.671013504492521
"ABHD8",0.0115024210962113,0.912296581729751,0.000108957429874895,0.520857115405235
"ABI1",0.144536260229177,0.0394840251009894,0.000209955509516221,0.620139918096849
"ABI2",0.483264513260183,0.0496852561889945,0.00538142551607587,0.0836679441500089
"ABI3",0.201267075615854,0.697801319097377,0.228901444516789,0.634744858166397
"ABI3BP",0.0231575277437667,0.842581003210572,0.0132397784827359,0.426524031280377
"ABL1",0.53853784167233,0.808229238183423,0.015789353137352,0.0234320855840057
"ABL2",1.33493072770545e-06,0.0493009312410675,0.00319500850274625,0.00917753284086742
"ABLIM1",0.764374274418984,1,0.000125361848305087,0.68610196543276
"ABLIM2",0.147271947879422,0.577510420876661,2.54389349565238e-08,0.650137819498946
"ABLIM3",0.904555876658772,0.90575967440144,3.57897699699072e-05,1
"ABO",0.642368366463918,0.904581392324215,0.0404639136394353,0.0847174535977379
"ABR",0.095632417418995,0.107233574038072,1.28963700975784e-05,0.640875231897932
"ABRA",0.0130438639565367,0.607730672815179,4.8048932256238e-05,0.19790381964993
"ABRACL",0.880667320218086,0.234053331158944,0.00508078846748829,0.12806066282956
"ABT1",0.085969523073541,0.372978030411026,2.86277920024545e-05,0.653787757777824
"ABTB1",0.206452880925512,0.341367351639978,0.00407025540411932,0.697991317662936
"ABTB2",0.194406712377483,0.640665333630333,0.244410137087513,1
"ACA59|ENSG00000251775.1",0.832038547153964,1,0.0419181421654796,0.00668367061302958
"ACA59|ENSG00000252000.1",1,0.0452686595152033,0.000106455473978864,0.0861815640388329
"ACA59|ENSG00000252870.1",0.1499150644795,0.0770772016374075,0.166767148229691,1
"ACA64|ENSG00000238685.1",0.138346700614319,0.428075231080183,0.171687382184317,0.158411473719074
"ACA64|ENSG00000238934.1",3.62582200819457e-07,0.201179603998487,0.000657551087413841,0.00144542986959403
"ACA64|ENSG00000239005.1",0.0399805322487197,0.644284871605569,0.172902631844067,0.80527990231788
"ACA64|ENSG00000239008.1",1,0.719457253026345,0.00175112512696092,0.248923632191537
"ACA64|ENSG00000252016.1",0.897739746042811,0.237809420474405,0.00135290823542153,0.305834882286135
"ACA64|ENSG00000252119.1",0.0847630330491571,0.170563935668016,0.170244186869045,1
"ACAA1",0.0585076159900871,0.259830534423631,0.0791360903922892,0.321757275813612
"ACAA2",0.871626289796381,0.380755054544467,0.0018428142072051,1
"ACACA",0.29824843022717,0.603035298798746,0.431363400693766,0.480670595696739
"ACACB",0.429337770800888,0.163518819431267,0.00035908617361906,0.864491943765433
"ACAD10",0.735060134972828,0.162723166681267,0.000259126906653308,1
"ACAD11",0.175014068574079,0.70642664500082,0.000525324963506559,1
"ACAD8",0.0660508138686808,0.423637178192656,0.0650817928710527,0.690175927851231
"ACAD9",0.285584335360361,0.567119217795359,0.0044082938679014,0.697144547910967
"ACADL",0.628569934161658,0.0648045553464739,0.00608966252765697,0.263882127680368
"ACADM",0.573802440222198,0.160630311553259,2.69272140394751e-05,0.366169574874262
"ACADS",0.566505031159287,0.0711723434197958,0.00231630395967647,0.515590167953265
"ACADSB",0.553658959298254,0.880466465999434,0.000430898389851756,0.555857139756393
"ACADVL",0.205758551810029,0.126368315644992,4.09132148056262e-06,0.625744593361012
"ACAN",0.357217527553739,0.639661780055468,0.327883662088681,0.203266428484047
"ACAP1",0.20582720562153,0.301112319121921,5.26425829373288e-06,0.628522599663415
"ACAP2",0.231281841576791,0.647458761466206,1.99369269524969e-08,0.437183837727022
"ACAP3",0.0251347033950052,0.138209077158774,1.6307345738327e-06,0.0616999553658469
"ACAT1",0.209161525282834,0.181518980812106,0.10371523536019,0.706296875001098
"ACAT2",0.87595335623486,0.488885445793883,0.00350399918707255,0.22628728558369
"ACBD3",9.52523470327089e-06,0.0154930492289593,0.00617652591198896,0.00255157975045397
"ACBD4",0.474934294454842,0.535145568643669,0.38527981080998,0.319894367812351
"ACBD5",0.14435437877751,0.0301254120310106,0.000162005473108747,0.869122412268013
