"","seq1","seq2","seq3","seq4","seq5","seq6","seq7","seq8","seq9"
"ABL1",0.0368493781667434,0.0245398773006135,0.0131578947368421,0.0353562005277045,0.0304878048780488,0.0191082802547771,0.0192544039328144,0.0139275766016713,0.0344827586206897
"ABL2",0.0382312298479963,0.0184049079754601,0.0526315789473684,0.0364116094986807,0.0426829268292683,0.0254777070063694,0.0282671036460467,0.0278551532033426,0.0344827586206897
"AKT1",0.0202671579917089,0.0122699386503067,0,0.0221635883905013,0.0182926829268293,0.00636942675159236,0.0155673904137649,0.00835654596100279,0.0258620689655172
"ALK",0.0469829571625979,0.0245398773006135,0.0789473684210526,0.0485488126649077,0.0609756097560976,0.0445859872611465,0.0507988529291274,0.0362116991643454,0.0560344827586207
"ARAF",0.0253339474896361,0.0184049079754601,0,0.0205804749340369,0.0304878048780488,0.0127388535031847,0.0139287177386317,0.00557103064066852,0.0129310344827586
"ARID1A",0.123906034085675,0.141104294478528,0.184210526315789,0.10976253298153,0.109756097560976,0.0828025477707006,0.0991396968455551,0.0584958217270195,0.150862068965517
"ASXL1",0.0391524643021649,0.0184049079754601,0.0394736842105263,0.0385224274406332,0.0670731707317073,0.0254777070063694,0.0409668168783286,0.0362116991643454,0.0387931034482759
"ATM",0.0709350529709811,0.0613496932515337,0.118421052631579,0.0754617414248021,0.0487804878048781,0.0955414012738854,0.0700532568619418,0.0389972144846797,0.0732758620689655
"BARD1",0.0202671579917089,0.0184049079754601,0.0263157894736842,0.0179419525065963,0.024390243902439,0.0127388535031847,0.0204834084391643,0.0139275766016713,0.0172413793103448
"BCL10",0.00829111008751727,0.00613496932515337,0,0.00897097625329815,0,0.00636942675159236,0.00491601802539943,0,0.0172413793103448
"BCL2",0.0142791340396131,0.0122699386503067,0.0131578947368421,0.0137203166226913,0.00609756097560976,0.00636942675159236,0.00819336337566571,0.011142061281337,0.0172413793103448
"BCL6",0.029940119760479,0.00613496932515337,0.0394736842105263,0.0226912928759894,0.0426829268292683,0.0127388535031847,0.0135190495698484,0.0139275766016713,0.0129310344827586
"BCOR",0.0502072777521879,0.0429447852760736,0.0394736842105263,0.0474934036939314,0.0426829268292683,0.0191082802547771,0.0417861532158951,0.0306406685236769,0.0775862068965517
"BIRC3",0.011054813450023,0.0245398773006135,0.0263157894736842,0.0147757255936675,0.0304878048780488,0.0127388535031847,0.0131093814010651,0.00557103064066852,0.00862068965517241
"BRAF",0.115614923998158,0.098159509202454,0.118421052631579,0.0839050131926121,0.0487804878048781,0.0509554140127389,0.102826710364605,0.0334261838440111,0.0905172413793103
"BRCA1",0.0396130815292492,0.0306748466257669,0.0789473684210526,0.0411609498680739,0.0426829268292683,0.0573248407643312,0.0319541171650963,0.0278551532033426,0.0560344827586207
"BRCA2",0.0608014739751267,0.0552147239263804,0.0789473684210526,0.0633245382585752,0.0609756097560976,0.0382165605095541,0.0548955346169603,0.0584958217270195,0.0603448275862069
"BRIP1",0.0290188853063105,0.0245398773006135,0.0394736842105263,0.0316622691292876,0.0182926829268293,0.0127388535031847,0.0282671036460467,0.0306406685236769,0.0517241379310345
"BTK",0.0308613542146476,0.0245398773006135,0.0657894736842105,0.0284960422163588,0.024390243902439,0.0254777070063694,0.0225317492830807,0.0167130919220056,0.021551724137931
"CALR",0.0128972823583602,0.0184049079754601,0.0526315789473684,0.00897097625329815,0.024390243902439,0.00636942675159236,0.00901269971323228,0.00835654596100279,0.00862068965517241
"CARD11",0.0557346844771994,0.0552147239263804,0.118421052631579,0.0548812664907652,0.0426829268292683,0.0509554140127389,0.048750512085211,0.0139275766016713,0.0603448275862069
"CBFB",0.015660985720866,0.0122699386503067,0.0131578947368421,0.0110817941952507,0.0304878048780488,0,0.00942236788201557,0.0139275766016713,0.00862068965517241
"CBL",0.029940119760479,0.0122699386503067,0.0394736842105263,0.0258575197889182,0.0548780487804878,0.0127388535031847,0.0176157312576813,0.0222841225626741,0.0301724137931034
"CCND1",0.0248733302625518,0.0184049079754601,0.0131578947368421,0.0079155672823219,0.0182926829268293,0.0127388535031847,0.0110610405571487,0.00557103064066852,0.0301724137931034
"CCND3",0.0115154306771073,0.00613496932515337,0.0263157894736842,0.0121372031662269,0.0182926829268293,0.0127388535031847,0.00737402703809914,0.00278551532033426,0.0129310344827586
"CD274",0.00690925840626439,0.00613496932515337,0.0131578947368421,0.0121372031662269,0.0121951219512195,0,0.00983203605079885,0.00557103064066852,0.0129310344827586
"CD79B",0.0119760479041916,0,0,0.00633245382585752,0.0182926829268293,0.0191082802547771,0.00409668168783286,0.00557103064066852,0.0172413793103448
"CDK12",0.0386918470750806,0.0122699386503067,0.0789473684210526,0.0453825857519789,0.0365853658536585,0.0191082802547771,0.0348217943465793,0.0417827298050139,0.0387931034482759
"CDK4",0.0115154306771073,0,0,0.00369393139841689,0.0121951219512195,0,0.008603031544449,0.00278551532033426,0.0172413793103448
"CDKN2A",0.0469829571625979,0.049079754601227,0.0789473684210526,0.0659630606860158,0.0670731707317073,0.10828025477707,0.0618598934862761,0.0557103064066852,0.0689655172413793
"CEBPA",0.00506678949792722,0,0,0.00369393139841689,0.00609756097560976,0,0.00491601802539943,0.00278551532033426,0.00431034482758621
"CHEK1",0.0152003684937817,0.00613496932515337,0.0131578947368421,0.0105540897097625,0.0121951219512195,0.00636942675159236,0.00614502253174928,0.0167130919220056,0.0129310344827586
"CHEK2",0.0216490096729618,0.0184049079754601,0.0131578947368421,0.0216358839050132,0.0304878048780488,0.00636942675159236,0.0135190495698484,0.011142061281337,0.0258620689655172
"CIITA",0.0290188853063105,0.0184049079754601,0.0394736842105263,0.0358839050131926,0.0365853658536585,0.0254777070063694,0.0331831216714461,0.0139275766016713,0.0560344827586207
"CREBBP",0.0654076462459696,0.0368098159509202,0.0789473684210526,0.0744063324538259,0.0792682926829268,0.0445859872611465,0.0671855796804588,0.052924791086351,0.0775862068965517
"CRLF2",0.0119760479041916,0.00613496932515337,0,0.00897097625329815,0.0121951219512195,0,0.00778369520688243,0.00278551532033426,0.00431034482758621
"CSF1R",0.0313219714417319,0.0184049079754601,0.0263157894736842,0.0269129287598945,0.0548780487804878,0.0191082802547771,0.0180253994264646,0.0194986072423398,0.0301724137931034
"CSF3R",0.0276370336250576,0.0122699386503067,0.0131578947368421,0.0284960422163588,0.0182926829268293,0.0127388535031847,0.0196640721015977,0.011142061281337,0.0258620689655172
"CXCR4",0.0175034546292031,0.0184049079754601,0.0131578947368421,0.0189973614775726,0.024390243902439,0,0.0155673904137649,0.0139275766016713,0.0172413793103448
